SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIPORTS, EQ,12/10/24,1266.85,1272.9,1272.9,1244.4,1248.75,1252.71,2406907,301.5161,79731,1127930,46.86
ADANIPORTS, EQ,12/9/24,1259.05,1257.8,1277.55,1249,1266.85,1265.94,2849557,360.738,94096,1076570,37.78
ADANIPORTS, EQ,12/6/24,1277.05,1279,1282.5,1256.1,1259.05,1267.45,2232531,282.9627,80008,755415,33.84
ADANIPORTS, EQ,12/5/24,1269.55,1274,1284.8,1254.2,1277.05,1272.31,4369917,555.989,162308,1343844,30.75
ADANIPORTS, EQ,12/4/24,1288.65,1301,1301,1262,1269.55,1276.4,4874025,622.1225,158425,1662500,34.11
ADANIPORTS, EQ,12/3/24,1215.8,1226.95,1309.5,1220,1288.65,1280.12,16753958,2144.7122,387986,4236314,25.29
ADANIPORTS, EQ,12/2/24,1190.05,1201.9,1220.9,1189.4,1215.8,1204.75,6941125,836.2294,193832,2094807,30.18
ADANIPORTS, EQ,11/29/24,1167.6,1175,1215.6,1168.9,1190.05,1189.48,9412850,1119.6371,237926,3059577,32.5
ADANIPORTS, EQ,11/28/24,1199.95,1196.65,1226.9,1163.15,1167.6,1193.73,15602469,1862.5138,389745,4667075,29.91
ADANIPORTS, EQ,11/27/24,1128.85,1102,1231.7,1102,1199.95,1177.88,24434211,2878.0576,499104,6393018,26.16
ADANIPORTS, EQ,11/26/24,1166.8,1172.05,1174.45,1119.35,1128.85,1138.13,5802555,660.4066,186664,1465549,25.26
ADANIPORTS, EQ,11/25/24,1136.75,1185,1191.4,1139.7,1166.8,1166.94,10532688,1229.0989,307565,4800903,45.58
ADANIPORTS, EQ,11/22/24,1114.65,1072.6,1155.9,1054,1136.75,1108.59,27086168,3002.7476,671336,8510048,31.42
ADANIPORTS, EQ,11/21/24,1289.65,1160.7,1160.7,995.65,1114.65,1080.76,46926687,5071.632,848188,17056419,36.35
ADANIPORTS, EQ,11/19/24,1279.3,1285,1321.45,1282,1289.65,1304.76,2631778,343.3852,90392,1308877,49.73
ADANIPORTS, EQ,11/18/24,1264.55,1264,1288.9,1261.3,1279.3,1275.75,1445637,184.4273,95416,622360,43.05
ADANIPORTS, EQ,11/14/24,1287.9,1289.95,1296.65,1260.65,1264.55,1272.67,2963013,377.0932,152378,1561024,52.68
ADANIPORTS, EQ,11/13/24,1326,1322,1329.25,1284.85,1287.9,1301.38,1437072,187.0177,94055,580750,40.41
ADANIPORTS, EQ,11/12/24,1347.9,1348.05,1354.8,1320,1326,1338.08,1038042,138.8988,68992,364690,35.13
ADANIPORTS, EQ,11/11/24,1362.1,1355.1,1357.95,1339.05,1347.9,1348.28,1269498,171.1639,74074,488758,38.5
ADANIPORTS, EQ,11/8/24,1353.1,1353.1,1367.3,1338.6,1362.1,1354.5,1400491,189.6972,71278,510074,36.42
ADANIPORTS, EQ,11/7/24,1370,1372.95,1372.95,1350,1353.1,1357.38,1292794,175.4811,73071,508693,39.35
ADANIPORTS, EQ,11/6/24,1329.35,1330,1382,1315.2,1370,1348.32,3645515,491.5315,103850,1255560,34.44
ADANIPORTS, EQ,11/5/24,1349.25,1350,1353.05,1295.9,1329.35,1316.11,4852958,638.7026,186297,1780346,36.69
ADANIPORTS, EQ,11/4/24,1394.4,1394.2,1395,1336,1349.25,1351.15,1700308,229.7374,102642,631334,37.13
ADANIPORTS, EQ,10/31/24,1396.2,1407.95,1408,1372.1,1375.95,1381.31,1891761,261.3117,76316,924441,48.87
ADANIPORTS, EQ,10/30/24,1372.7,1379.95,1414.9,1358.05,1396.2,1396.56,2526884,352.8935,88072,710646,28.12
ADANIPORTS, EQ,10/29/24,1352.2,1364.7,1377.45,1322,1372.7,1352.39,3790528,512.627,178528,1334801,35.21
ADANIPORTS, EQ,10/28/24,1318.7,1326.85,1364.1,1303.15,1352.2,1341.34,2126411,285.2231,110924,967684,45.51
ADANIPORTS, EQ,10/25/24,1354.4,1360,1368,1304.15,1318.7,1318.68,2078274,274.0582,109779,934327,44.96
ADANIPORTS, EQ,10/24/24,1340.45,1345,1359,1336.2,1354.4,1350.24,1115993,150.6859,76893,480898,43.09
ADANIPORTS, EQ,10/23/24,1362.85,1362.8,1370.8,1335.2,1340.45,1348.49,1916219,258.4005,107069,961119,50.16
ADANIPORTS, EQ,10/22/24,1375.5,1374.7,1387.1,1353.9,1362.85,1365.63,2467299,336.9412,151875,1376016,55.77
ADANIPORTS, EQ,10/21/24,1405.6,1409.9,1412.9,1371.3,1375.5,1383.23,1644382,227.4563,107358,864215,52.56
ADANIPORTS, EQ,10/18/24,1394.7,1389,1410.55,1376,1405.6,1398.94,1290065,180.4724,88317,438398,33.98
ADANIPORTS, EQ,10/17/24,1403.8,1403.8,1408,1387.55,1394.7,1397.01,1418861,198.2164,69893,718699,50.65
ADANIPORTS, EQ,10/16/24,1420.3,1418,1418.4,1392,1403.8,1404.69,1450465,203.7449,81228,666770,45.97
ADANIPORTS, EQ,10/15/24,1410.3,1415.95,1424.7,1407,1420.3,1417.81,1018477,144.4009,50547,526154,51.66
ADANIPORTS, EQ,10/14/24,1408.25,1418,1426,1407.15,1410.3,1414.48,762384,107.8378,46888,267007,35.02
ADANIPORTS, EQ,10/11/24,1417.2,1415.2,1426.85,1405.2,1408.25,1412.96,1158809,163.7355,54411,484867,41.84
ADANIPORTS, EQ,10/10/24,1408.15,1417,1430.05,1406.85,1417.2,1416.57,1628495,230.687,85313,517015,31.75
ADANIPORTS, EQ,10/9/24,1418.55,1424.75,1432.95,1404.35,1408.15,1419.33,1507508,213.9657,79759,487390,32.33
ADANIPORTS, EQ,10/8/24,1355.2,1342,1424.35,1342,1418.55,1399.43,3031170,424.1919,142022,1136697,37.5
ADANIPORTS, EQ,10/7/24,1413.7,1410,1423.9,1337,1355.2,1363.29,4531821,617.8203,230968,2220876,49.01
ADANIPORTS, EQ,10/4/24,1425.2,1424.8,1446.4,1404.2,1413.7,1424.38,2611371,371.9591,107828,932352,35.7
ADANIPORTS, EQ,10/3/24,1467.5,1452.75,1469,1414.2,1425.2,1440,3967953,571.3839,127891,2560505,64.53
ADANIPORTS, EQ,10/1/24,1448.2,1448.2,1472.85,1448,1467.5,1461.98,1687795,246.7516,99327,808352,47.89
ADANIPORTS, EQ,9/30/24,1456.7,1456.7,1468.75,1444,1448.2,1451.26,2042408,296.4072,84409,1159763,56.78
ADANIPORTS, EQ,9/27/24,1472.6,1485,1485,1452.45,1456.7,1464.19,2694100,394.4668,111455,1500252,55.69
ADANIPORTS, EQ,9/26/24,1452.55,1456.85,1475.75,1448,1472.6,1462.1,2066994,302.2154,89388,1117502,54.06
ADANIPORTS, EQ,9/25/24,1456.65,1459,1464,1438.2,1452.55,1447.61,1227806,177.7385,59713,500879,40.79
ADANIPORTS, EQ,9/24/24,1456.15,1456.15,1465.85,1447,1456.65,1455.1,1537307,223.6943,70343,731239,47.57
ADANIPORTS, EQ,9/23/24,1438.7,1448,1458.95,1443.85,1456.15,1454,1139915,165.7442,45678,448621,39.36
ADANIPORTS, EQ,9/20/24,1408.2,1418.95,1453.05,1409.2,1438.7,1435.87,4407151,632.8083,155204,2078564,47.16
ADANIPORTS, EQ,9/19/24,1428.8,1433,1438,1394.45,1408.2,1410,2072872,292.2751,109397,855328,41.26
ADANIPORTS, EQ,9/18/24,1426.6,1430,1439.25,1415.05,1428.8,1428.36,1421406,203.028,63378,557569,39.23
ADANIPORTS, EQ,9/17/24,1440.7,1442.8,1445,1420.1,1426.6,1428.29,1321316,188.722,68586,648236,49.06
ADANIPORTS, EQ,9/16/24,1452.1,1455.1,1461.15,1438.8,1440.7,1448.09,1673805,242.3824,55293,1004515,60.01
ADANIPORTS, EQ,9/13/24,1472.6,1472.95,1475.65,1450,1452.1,1457.25,1683544,245.3342,81458,668589,39.71
ADANIPORTS, EQ,9/12/24,1430.6,1444,1475,1440.2,1472.6,1460.68,4003674,584.8095,168362,1243060,31.05
ADANIPORTS, EQ,9/11/24,1453.4,1454.95,1457.85,1425.1,1430.6,1441.83,1637596,236.1131,85430,889499,54.32
ADANIPORTS, EQ,9/10/24,1435.9,1439,1464,1435,1453.4,1451.93,1542798,224.0034,78922,658432,42.68
ADANIPORTS, EQ,9/9/24,1442.4,1431,1441.6,1411,1435.9,1427.64,1621371,231.4732,73544,606639,37.42
ADANIPORTS, EQ,9/6/24,1465.55,1465.6,1468.75,1427.55,1442.4,1442.65,3340767,481.9564,117630,1619935,48.49
ADANIPORTS, EQ,9/5/24,1472.1,1476.75,1476.8,1463,1465.55,1467.49,959956,140.8721,56018,468503,48.8
ADANIPORTS, EQ,9/4/24,1479.55,1472,1475.15,1461.05,1472.1,1469.92,1122071,164.9359,63757,522189,46.54
ADANIPORTS, EQ,9/3/24,1494.5,1494.5,1498.1,1476.6,1479.55,1485.19,882478,131.0648,51825,383455,43.45
ADANIPORTS, EQ,9/2/24,1481.9,1490,1499.5,1478.8,1494.5,1489.1,2054244,305.8967,66290,975553,47.49
ADANIPORTS, EQ,8/30/24,1476.05,1480.95,1487,1466,1481.9,1476.75,1996592,294.8474,87242,965221,48.34
ADANIPORTS, EQ,8/29/24,1469.8,1472.05,1483,1452.6,1476.05,1469.38,3359850,493.6894,142636,1823409,54.27
ADANIPORTS, EQ,8/28/24,1478.35,1479.4,1486.4,1467,1469.8,1479.2,1225101,181.2174,53059,663364,54.15
ADANIPORTS, EQ,8/27/24,1482.55,1484.9,1496.9,1475.6,1478.35,1483.6,910064,135.017,52380,401037,44.07
ADANIPORTS, EQ,8/26/24,1491.3,1495.5,1497,1480,1482.55,1485.34,1087057,161.4651,46379,570706,52.5
ADANIPORTS, EQ,8/23/24,1492.3,1493,1503,1486.1,1491.3,1493.27,1181075,176.3664,55601,467188,39.56
ADANIPORTS, EQ,8/22/24,1503.5,1507,1509.5,1490.4,1492.3,1499.39,1442064,216.222,75566,648798,44.99
ADANIPORTS, EQ,8/21/24,1492.55,1499.1,1517,1492.55,1503.5,1505.56,1551436,233.5778,64364,652473,42.06
ADANIPORTS, EQ,8/20/24,1496.45,1504.95,1510,1486.3,1492.55,1493.44,990643,147.9462,46180,357936,36.13
ADANIPORTS, EQ,8/19/24,1493.45,1500.95,1507,1490,1496.45,1495.87,1343387,200.9527,60241,534445,39.78
ADANIPORTS, EQ,8/16/24,1461.95,1471.2,1497.2,1457.05,1493.45,1477.78,1985315,293.3857,91234,665001,33.5
ADANIPORTS, EQ,8/14/24,1483.45,1488,1488,1452,1461.95,1462.11,2648057,387.174,117146,830171,31.35
ADANIPORTS, EQ,8/13/24,1501.4,1505.85,1517.45,1479.5,1483.45,1495.83,2485446,371.7798,98171,906198,36.46
ADANIPORTS, EQ,8/12/24,1533.8,1500,1524.25,1457.35,1501.4,1498.22,9230512,1382.9354,245831,2400165,26
ADANIPORTS, EQ,8/9/24,1519,1541.5,1543.5,1519,1533.8,1530.43,1503033,230.0288,68808,588122,39.13
ADANIPORTS, EQ,8/8/24,1543.8,1538,1556,1513.8,1519,1534.37,2468123,378.7021,112588,869420,35.23
ADANIPORTS, EQ,8/7/24,1494.1,1520,1547.85,1514.2,1543.8,1533.9,2258441,346.422,106615,845944,37.46
ADANIPORTS, EQ,8/5/24,1588,1540,1563.45,1471.55,1493.85,1509.8,7147230,1079.0898,299694,3147117,44.03
ADANIPORTS, EQ,8/2/24,1590.15,1579.95,1599.7,1550.2,1588,1578.81,4313297,680.9883,161328,927027,21.49
ADANIPORTS, EQ,8/1/24,1569.9,1580.95,1604.95,1568.5,1590.15,1588,7160588,1137.1044,239326,1858569,25.96
ADANIPORTS, EQ,7/30/24,1548.7,1554.6,1556.9,1536,1546.25,1546.52,2800881,433.1616,92520,1473335,52.6
ADANIPORTS, EQ,7/29/24,1542.75,1547.9,1559,1540,1548.7,1549.93,1928637,298.9251,90622,835960,43.34
ADANIPORTS, EQ,7/26/24,1487,1495.9,1547.9,1490,1542.75,1530.59,4500728,688.8765,229011,1919022,42.64
ADANIPORTS, EQ,7/25/24,1484.8,1471,1499.45,1466.85,1487,1485.89,2211808,328.6501,104576,853116,38.57
ADANIPORTS, EQ,7/24/24,1507.35,1508,1513.55,1480,1484.8,1492.56,2201442,328.5789,123454,1060882,48.19
ADANIPORTS, EQ,7/23/24,1467.35,1468,1517,1419,1507.35,1488.92,5987213,891.4454,172606,2130588,35.59
ADANIPORTS, EQ,7/22/24,1469.3,1470,1475,1442.55,1467.35,1466.16,1721261,252.3652,75158,778044,45.2
ADANIPORTS, EQ,7/19/24,1493.9,1492.55,1502.2,1465.5,1469.3,1479.53,2568243,379.9781,83798,1310443,51.02
ADANIPORTS, EQ,7/18/24,1499.05,1490,1504.25,1472.2,1493.9,1489.15,3263419,485.9708,105528,1568824,48.07
ADANIPORTS, EQ,7/16/24,1495.05,1496,1510.6,1493.25,1499.05,1501.06,2170314,325.7767,64539,1043532,48.08
ADANIPORTS, EQ,7/15/24,1486.7,1494,1505,1485.3,1495.05,1495.67,1913095,286.1363,63528,801402,41.89
ADANIPORTS, EQ,7/12/24,1483.85,1490,1497,1481.15,1486.7,1489.18,2018935,300.6553,86580,910589,45.1
ADANIPORTS, EQ,7/11/24,1487.8,1495,1498.5,1477.9,1483.85,1486.33,1765496,262.4102,87382,590246,33.43
ADANIPORTS, EQ,7/10/24,1478,1492,1494.45,1460,1487.8,1481.57,2082079,308.475,84527,537467,25.81
