SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,11/25/24,4449.35,4510,4579.95,4465.15,4544.95,4534.66,214213,97.1382,31225,92870,43.35
CAMS, EQ,11/22/24,4532.85,4550,4573.9,4420,4449.35,4452.75,290935,129.5461,35091,114667,39.41
CAMS, EQ,11/21/24,4538.1,4510,4569.7,4456,4532.85,4508.26,169796,76.5484,23385,52631,31
CAMS, EQ,11/19/24,4495.25,4523,4635,4510.6,4538.1,4591.76,214155,98.3347,27208,90271,42.15
CAMS, EQ,11/18/24,4581.95,4618,4618,4451,4495.25,4504.36,191325,86.1797,31442,66164,34.58
CAMS, EQ,11/14/24,4492.3,4504.95,4649.95,4504.95,4581.95,4602.58,262219,120.6884,44797,79077,30.16
CAMS, EQ,11/13/24,4681.7,4670,4706.25,4471,4492.3,4556.91,310748,141.605,68666,122486,39.42
CAMS, EQ,11/12/24,4720.1,4746,4892.2,4656.55,4681.7,4802.45,439487,211.0614,54398,132769,30.21
CAMS, EQ,11/11/24,4673.85,4676,4769.9,4620,4720.1,4722.87,214031,101.084,33987,83793,39.15
CAMS, EQ,11/8/24,4662.5,4662,4785,4655,4673.85,4712.99,315855,148.8622,42437,96549,30.57
CAMS, EQ,11/7/24,4672.65,4695.95,4755.95,4642.05,4662.5,4688.41,228536,107.1471,37079,81612,35.71
CAMS, EQ,11/6/24,4564.6,4594,4690.5,4564,4672.65,4632.18,344135,159.4097,50432,136709,39.73
CAMS, EQ,11/5/24,4542.65,4550,4611,4505.55,4564.6,4564.12,233238,106.4527,35237,60318,25.86
CAMS, EQ,11/4/24,4518.7,4530,4787.25,4505,4542.65,4649.68,1135535,527.9874,123935,205641,18.11
CAMS, EQ,10/31/24,4381.8,4385,4517,4328.75,4443.7,4441.27,289323,128.4963,44151,113517,39.24
CAMS, EQ,10/30/24,4331.15,4328.75,4445,4290.1,4381.8,4389.5,190723,83.7179,28382,63181,33.13
CAMS, EQ,10/29/24,4276.25,4305,4377.3,4206,4331.15,4285.46,215140,92.1974,37013,76218,35.43
CAMS, EQ,10/28/24,4315.5,4355.45,4389,4250.05,4276.25,4306.62,386326,166.376,52850,97242,25.17
CAMS, EQ,10/25/24,4500.6,4509.8,4567.2,4291.05,4315.5,4364.61,233780,102.0357,46105,97683,41.78
CAMS, EQ,10/24/24,4560.25,4562.95,4600,4458.4,4500.6,4522.62,173348,78.3987,24721,69113,39.87
CAMS, EQ,10/23/24,4400.45,4393,4641.6,4334.75,4560.25,4504.45,475604,214.2334,59935,182746,38.42
CAMS, EQ,10/22/24,4644.7,4649,4660,4386.65,4400.45,4514.61,369810,166.9546,55476,200723,54.28
CAMS, EQ,10/21/24,4742,4742,4798,4631.45,4644.7,4709.1,355443,167.3816,63540,157638,44.35
CAMS, EQ,10/18/24,4851.65,4830,4846.65,4652,4742,4745.98,450472,213.7931,81131,159158,35.33
CAMS, EQ,10/17/24,4836.55,4893.65,4969.85,4801.35,4851.65,4891.53,956372,467.8123,86791,310174,32.43
CAMS, EQ,10/16/24,4626.3,4606.05,4910,4592,4836.55,4811.66,1207042,580.7872,124368,405225,33.57
CAMS, EQ,10/15/24,4600.6,4630,4738.2,4594.8,4626.3,4647.76,368895,171.4535,39438,137838,37.37
CAMS, EQ,10/14/24,4511.25,4530,4674,4401.9,4600.6,4561.79,609366,277.9802,66545,156638,25.71
