,StockName,scID,sector
304,Orissa Minerals,OMD,Metals & Mining
305,Star Health,SHA,Diversified
306,Delta Corp,AW,Miscellaneous
307,Gland,GP14,Healthcare
308,Ujjivan Small,USF,Banks
309,Adani Enterpris,AE01,Trading
310,HUDCO,HUD,Finance
311,CHEMPLAST SANMA,CS18,Chemicals
312,Britannia,BI,FMCG
313,Grasim,GI01,Diversified
314,Metropolis,MH09,Healthcare
315,Responsive Ind,SH10,Construction Materials
316,Guj Alkali,GAC01,Chemicals
317,Atul,A06,Chemicals
318,Subros,S07,Automobile & Ancillaries
319,AARTIPHARM,AP32,Healthcare
320,CESC,CES,Power
321,Delhivery,D05,Logistics
322,JB Chemicals,JBC,Healthcare
323,United Spirits,MC08,Alcohol
324,IOC,IOC,Oil & Gas
325,Petronet LNG,PLN,Oil & Gas
326,Supreme Ind,SI48,Plastic Products
327,Hindustan Foods,HFL,FMCG
328,IRCTC,IRC,Software & IT Services
329,Bandhan Bank,BB09,Banks
330,GSFC,GSF,Chemicals
331,Hero Motocorp,HHM,Automobile & Ancillaries
332,TITAGARH,TW04,Manufacturing
333,Venus Pipes,VPT01,Metals & Mining
334,Godrej Ind,GS,Chemicals
335,Rolex Rings,RR10,Metals & Mining
336,HUL,HL,FMCG
337,Cyient,IE07,Software & IT Services
338,JK Tyre & Ind,JKI,Automobile & Ancillaries
339,RHI Magnesita,OR01,Capital Goods
340,Kesoram,KI08,Diversified
341,Clean Science,CST,Chemicals
342,Five-Star Busin,FBF,Finance
343,TataTeleservice,HTC02,Telecom
344,Sona BLW,SBP04,Automobile & Ancillaries
345,Sonata,SS42,Software & IT Services
346,Westlife Food,DIC,Hospitality
347,ITC,ITC,Diversified
348,Bectors Food,MBF01,FMCG
349,Rattanindia Ent,IIP,Miscellaneous
350,Suzlon Energy,SE17,Capital Goods
351,Fert and Chem,FCT,Chemicals
352,V-Guard Ind,VI16,Capital Goods
353,Varroc Engineer,VE08,Automobile & Ancillaries
354,Havells India,HI01,Capital Goods
355,IDFC First Bank,IDF01,Banks
356,Hindalco,H,Metals & Mining
357,Senco Gold,SG16,Diamond  &  Jewellery
358,LIC Housing Fin,LIC,Finance
359,Dhani Services,IS08,Finance
360,Tata Tech,TTL01,Diversified
361,Balaji Amines,BA05,Chemicals
362,Welspun Enter,MSK,Real Estate
363,Orient Cement,OC12,Construction Materials
364,SBI Card,SCP03,Finance
365,Supriya Lifesci,SL19,Healthcare
366,Suven Pharma,SP42,Healthcare
367,Reliance Infra,BSE,Power
368,NFL,NF06,Chemicals
369,Rategain Travel,RTT,Software & IT Services
370,IndusInd Bank,IIB,Banks
371,Jindal Steel,JSP,Metals & Mining
372,KSB Pumps,KSB,Capital Goods
373,ISGEC Heavy Eng,SIS06,Capital Goods
374,Titan Company,TI01,Diamond  &  Jewellery
375,Whirlpool,WI,Consumer Durables
376,Patel Eng,PEC,Infrastructure
377,AAVAS Financier,AF32,Finance
378,MRF,MRF,Automobile & Ancillaries
379,India Cements,IC,Construction Materials
380,TCI Express,TCI08,Logistics
381,Sai Silks,SSK01,Retailing
382,Johnson Control,AA02,Consumer Durables
383,MphasiS,BFL,Software & IT Services
384,Guj Mineral,GMD,Metals & Mining
385,Godawari Power,GPI7,Metals & Mining
386,Castrol,CI01,Automobile & Ancillaries
387,Dr Reddys Labs,DRL,Healthcare
388,Info Edge,IEI01,Miscellaneous
389,Mahindra Holida,MHR,Hospitality
390,Puravankara,PP27,Real Estate
391,Cipla,C,Healthcare
392,KEC Intl,KEC03,Capital Goods
393,Bajaj Consumer ,BC14,FMCG
394,Godrej Prop,GP11,Real Estate
395,Redtape,R08,Footwear
396,Exide Ind,EI,Automobile & Ancillaries
397,Railtel,RCO01,Telecom
398,Wipro,W,Software & IT Services
399,Kalyani Steels,KS01,Metals & Mining
400,Happy Forgings,HFL03,Metals & Mining
401,Laxmi Organic,LOI01,Chemicals
402,ConfidencePetro,DG01,Industrial Gases & Fuels
403,MSTC,M14,Trading
404,Chennai Petro,MR,Oil & Gas
405,Sundaram Fin,SF20,Finance
406,SKF India,SKF,Automobile & Ancillaries
407,Tata Comm,VSN,Telecom
408,Mazagon Dock,MDS01,Ship Building
409,COFORGE LTD.,NII02,Software & IT Services
410,PI Industries,PII,Chemicals
411,Tega Industries,TI30,Capital Goods
412,Timken,TT04,Automobile & Ancillaries
413,Hindustan Aeron,HAL,Aviation
414,Lux Industries,LHI,Textiles
415,MMTC Ltd,MMT,Trading
416,Yatharth HOSP,YHT,Healthcare
417,Sammaan Capital,IHF01,Finance
418,Jai Corp,JC01,Metals & Mining
419,Jio Financial,JFS,Finance
420,PNB,PNB05,Banks
421,PVR INOX,PVR,Media & Entertainment
422,ICICI Bank,ICI02,Banks
423,Krishna Inst.,KIO01,Healthcare
424,BEML,BEM,Capital Goods
425,PG Electroplast,PE06,Consumer Durables
426,Marico,MI25,FMCG
427,Healthcare Glob,HGE,Healthcare
428,Kirloskar Bros,KB02,Capital Goods
429,Apollo Hospital,AHE,Healthcare
430,HDFC Bank,HDF01,Banks
431,ICICI Securitie,ISL03,Finance
432,JSW Steel,JVS,Metals & Mining
433,Pidilite Ind,PI11,Chemicals
434,Kansai Nerolac,GNP,Chemicals
435,NMDC,NMD01,Metals & Mining
436,Oil India,OI13,Oil & Gas
437,Polyplex Corp,PC08,Plastic Products
438,Shipping Corp,SCI,Logistics
439,IRB Infra,IID01,Infrastructure
440,Chola Fin Hold,TII,Finance
441,DCM Shriram,DCM02,Diversified
442,Go Digit,GDGIL,Insurance
443,HEG,HEG,Capital Goods
444,Yes Bank,YB,Banks
445,Dodla Dairy,DD02,FMCG
446,India Pesticide,IP09,Chemicals
447,R R Kabel,K04,Electricals
448,Narayana Hruda,NH,Healthcare
449,Heidelberg Cem,MC14,Construction Materials
450,Tata Steel,TIS,Metals & Mining
451,AB Capital,ABC07,Finance
452,SBFC Finance,SF35,Finance
453,Container Corp,CCI,Logistics
454,Hemisphere,HPI01,Real Estate
455,Greenply Ind,GI19,Construction Materials
456,GNFC,GNV,Chemicals
457,Greenpanel Ind,GREEN54285,Construction Materials
458,Rallis India,RI03,Chemicals
459,AGI Greenpac,HSI,Containers & Packaging
460,Polycab,PI41,Electricals
461,Shilpa,SA04,Healthcare
462,Tata Chemicals,TC,Chemicals
463,Voltamp Trans,VT9,Capital Goods
464,Tata Inv Corp,TIC,Finance
465,Bajaj Auto,BA06,Automobile & Ancillaries
466,Infibeam Avenue,IIL03,Software & IT Services
467,BOMDYEING,BDM,Textiles
468,Finolex Cables,FC01,Electricals
469,Maithan Alloys,MA04,Metals & Mining
470,Triveni Engg,TE10,Agri
471,Apar Ind,AI40,Capital Goods
472,Jaiprakash Pow,JHP01,Power
473,Supreme Petro,SP,Chemicals
474,Data Patterns,DPI01,Aviation
475,Sandur Manganes,SMI,Metals & Mining
476,Asian Paints,API,Chemicals
477,Prudent Advisor,PCA,Finance
478,P and G,PGI,FMCG
479,JTEKT India ,SSS,Automobile & Ancillaries
480,TD Power System,TPS,Capital Goods
481,Bosch,MIC,Automobile & Ancillaries
482,PTC Industries,PTC02,Automobile & Ancillaries
483,Veedol Corp,TWO,Oil & Gas
484,Shivalik Bimeta,SBC,Capital Goods
485,Banco Products,BPI,Automobile & Ancillaries
486,GMM Pfaudler,GMM01,Capital Goods
487,Rashtriya Chem,RCF01,Chemicals
488,Amara Raja,ARB,Automobile & Ancillaries
489,Coromandel Int,CF06,Chemicals
490,MOIL,M11,Metals & Mining
491,Ramco Cements,MC,Construction Materials
492,Gillette India,ISP,FMCG
493,Bharat Forge,BFC,Metals & Mining
494,Indian Bank,IB04,Banks
495,Jubilant Ing.,JI12,Chemicals
496,Eveready Ind,EII02,Automobile & Ancillaries
497,Gravita India,GI24,Metals & Mining
498,PCBL,PCB01,Chemicals
499,Shyam Metalics,SME05,Metals & Mining
500,Azad Eng,AEL03,Aviation
501,CMS Info System,CIS02,Software & IT Services
502,Schaeffler Ind,FPB,Automobile & Ancillaries
503,Carborundum,CU,Manufacturing
504,Honasa Consumer,HCL07,FMCG
505,Jyothy Labs,JL,FMCG
506,Bayer CropScien,HSA01,Chemicals
507,SAIL,SAI,Metals & Mining
508,NLC India,NLC,Power
509,JBM Auto,JBM03,Automobile & Ancillaries
510,Sanofi India,HMR,Healthcare
511,NIITMTS,NLS,Software & IT Services
512,Share India,SIS08,Finance
513,Chalet Hotels,CH03,Hospitality
514,Sun TV Network,STV01,Media & Entertainment
515,Tube Investment,TIIND54076,Automobile & Ancillaries
516,3M India,B3M,Diversified
517,Jamna Auto,JAI,Automobile & Ancillaries
518,SRF,SRF,Diversified
