Stock|  | Issued Shares|  | Total Market Cap|  | FreeFloatMarketCap
GRASIM| "Issued Capital (Shares)"| "65,84,48,791"| Total Market Cap (₹ Lakhs)| 1,22,14,225.07| Free Float Market Cap (₹ Lakhs)| 68,39,966.04
GUJGASLTD| "Issued Capital (Shares)"| "68,83,90,125"| Total Market Cap (₹ Lakhs)| 31,67,971.36| Free Float Market Cap (₹ Lakhs)| 7,91,992.84
GNFC| Total Market Cap (₹ Lakhs)| 10,05,404.11| Free Float Market Cap (₹ Lakhs)| 5,73,080.34
GSPL| "Issued Capital (Shares)"| "56,42,11,376"| Total Market Cap (₹ Lakhs)| 16,27,749.82| Free Float Market Cap (₹ Lakhs)| 8,30,152.41
HAVELLS| "Issued Capital (Shares)"| "62,66,74,350"| Total Market Cap (₹ Lakhs)| 90,67,664.51| Free Float Market Cap (₹ Lakhs)| 36,27,065.80
HCLTECH| "Issued Capital (Shares)"| "2,71,36,65,096"| Total Market Cap (₹ Lakhs)| 3,47,02,349.25| Free Float Market Cap (₹ Lakhs)| 1,35,33,916.21
HDFCAMC| "Issued Capital (Shares)"| "21,34,84,000"| Total Market Cap (₹ Lakhs)| 56,76,539.56| Free Float Market Cap (₹ Lakhs)| 21,00,319.64
HDFCBANK| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
HDFCLIFE| "Issued Capital (Shares)"| "2,14,99,63,994"| Total Market Cap (₹ Lakhs)| 1,43,53,159.62| Free Float Market Cap (₹ Lakhs)| 71,76,579.81
HEROMOTOCO| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
HINDALCO| "Issued Capital (Shares)"| "2,24,72,16,523"| Total Market Cap (₹ Lakhs)| 1,08,78,775.19| Free Float Market Cap (₹ Lakhs)| 70,71,203.87
HAL| "Issued Capital (Shares)"| "33,43,87,500"| Total Market Cap (₹ Lakhs)| 1,36,73,104.88| Free Float Market Cap (₹ Lakhs)| 38,28,469.37
HINDCOPPER| "Issued Capital (Shares)"| "96,70,24,020"| Total Market Cap (₹ Lakhs)| 16,17,347.67| Free Float Market Cap (₹ Lakhs)| 5,49,898.21
HINDPETRO| Total Market Cap (₹ Lakhs)| 37,71,210.78| Free Float Market Cap (₹ Lakhs)| 16,97,044.85
HINDUNILVR| "Issued Capital (Shares)"| "2,34,95,91,262"| Total Market Cap (₹ Lakhs)| 5,96,44,374.19| Free Float Market Cap (₹ Lakhs)| 2,26,64,862.19
HONAUT| "Issued Capital (Shares)"| "88,41,523"| Total Market Cap (₹ Lakhs)| 34,97,264.42| Free Float Market Cap (₹ Lakhs)| 8,74,316.11
HDFC| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
ICICIBANK| "Issued Capital (Shares)"| "7,00,09,78,399"| Total Market Cap (₹ Lakhs)| 6,87,49,607.88| Free Float Market Cap (₹ Lakhs)| 6,87,49,607.88
ICICIGI| Total Market Cap (₹ Lakhs)| -| Free Float Market Cap (₹ Lakhs)| -
ICICIPRULI| "Issued Capital (Shares)"| "1,43,95,46,976"| Total Market Cap (₹ Lakhs)| 83,06,186.05| Free Float Market Cap (₹ Lakhs)| 22,42,670.23
